optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy,cost
adan,fp16,lightseq,32,A100,238.52,71237976,0.935,0.265
adamw,fp16,lightseq,32,A100,242.89,72597557,0.9348,0.27
adan,fp16,lightseq,16,A100,269.82,79748421,0.9304,0.2998
adamw,fp16,lightseq,16,A100,277.54,81773921,0.9258,0.31
adan,fp16,lightseq,8,A100,326.8,94872731,0.9284,0.3631
adamw,fp16,lightseq,8,A100,341.3,98686600,0.9328,0.38
adan,fp16,huggingface,32,A100,383.05,113277808,0.923,0.4256
adamw,fp16,huggingface,32,A100,387.25,114348670,0.9358,0.43
adan,fp16,huggingface,16,A100,428.18,123318672,0.9304,0.4758
adamw,fp16,huggingface,16,A100,436.44,124417075,0.9326,0.48
adan,fp16,lightseq,32,V100,481.41,112591533,0.934,0.2675
adamw,fp16,lightseq,32,V100,488.11,113596436,0.9362,0.27
adan,fp16,huggingface,8,A100,511.62,134293294,0.918,0.5685
adamw,fp16,huggingface,8,A100,529.28,138613775,0.9326,0.59
adan,fp16,lightseq,16,V100,536.93,123560387,0.925,0.2983
adamw,fp16,lightseq,16,V100,549.69,124899458,0.9284,0.31
adamw,bf16,huggingface,512,TPUv2,603,NaN,0.933,0.83
adan,fp16,lightseq,32,A10,626.62,97703905,0.929,0.1915
adamw,bf16,huggingface,256,TPUv2,629,NaN,0.935,0.87
adamw,fp16,lightseq,32,A10,637.48,99265365,0.9318,0.19
adan,fp16,lightseq,8,V100,638.83,136234340,0.9272,0.3549
adamw,fp16,lightseq,8,V100,667.24,139057400,0.931,0.37
adamw,bf16,huggingface,128,TPUv2,675,NaN,0.93,0.91
adan,fp16,lightseq,16,A10,718.81,111879840,0.9232,0.2196
adamw,fp16,lightseq,16,A10,740.1,115067386,0.936,0.23
adamw,fp32,huggingface,128,TPUv2,746,NaN,0.938,1.01
adamw,bf16,huggingface,64,TPUv2,763.13,NaN,0.9455,1.05
adan,fp16,huggingface,16,V100,824.98,167276704,0.9298,0.4583
adamw,fp32,huggingface,64,TPUv2,834.83,NaN,0.9259,1.16
adamw,fp16,huggingface,16,V100,838.28,168458801,0.934,0.47
adan,fp16,lightseq,8,A10,840.64,130392167,0.9384,0.2569
adamw,fp16,lightseq,8,A10,878.55,135532265,0.9378,0.27
adan,fp16,huggingface,8,V100,965.67,178077286,0.9072,0.5365
adamw,fp16,huggingface,8,V100,998.02,184664530,0.9256,0.55
adan,fp16,huggingface,32,A10,1040.34,160717948,0.9376,0.3179
