optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy
adan,fp16,lightseq,32,A100,270.08,68987592,0.93
adamw,fp16,lightseq,32,A100,273.47,69873472,0.93
adan,fp16,lightseq,16,A100,303.68,77374714,0.93
adamw,fp16,lightseq,16,A100,310.32,79220155,0.93
adan,fp16,lightseq,8,A100,363.85,92517489,0.93
adamw,fp16,lightseq,8,A100,384.8,97339553,0.92
adan,fp16,huggingface,32,A100,437.89,111294541,0.92
adamw,fp16,huggingface,32,A100,442.24,112355498,0.94
adan,fp16,huggingface,16,A100,485.26,122382754,0.93
adamw,fp16,huggingface,16,A100,495.89,124809201,0.93
adan,fp16,huggingface,8,A100,569.08,142405791,0.92
adamw,fp16,huggingface,8,A100,597.78,148632543,0.93
adan,no,lightseq,32,A100,1451.12,373632165,0.93
adamw,no,lightseq,32,A100,1452.67,373939127,0.93
adan,no,lightseq,16,A100,1494.79,384059389,0.93
adamw,no,lightseq,16,A100,1502.34,385797202,0.93
adan,no,lightseq,8,A100,1567.15,402029884,0.94
adan,no,huggingface,32,A100,1581.79,407066424,0.93
adamw,no,lightseq,8,A100,1584.32,405895574,0.93
adamw,no,huggingface,32,A100,1586.06,407579565,0.93
adan,no,huggingface,16,A100,1634.15,419762315,0.93
adamw,no,huggingface,16,A100,1646.51,422375618,0.93
adan,no,huggingface,8,A100,1710.47,435929249,0.93
adamw,no,huggingface,8,A100,1733.54,441744976,0.93
