optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy
adamw,fp16,lightseq,8,T4,1902.65,137295476,0.9294
adamw,fp16,lightseq,16,T4,1648.55,119394168,0.9316
adamw,fp16,lightseq,32,T4,1504.33,109309823,0.933
adamw,fp16,huggingface,8,T4,2733.96,196569850,0.933
adamw,fp16,huggingface,16,T4,2450.16,176836782,0.9282
adamw,no,lightseq,8,T4,6072.4,440672428,0.929
adamw,no,lightseq,16,T4,5789.54,420396530,0.9286
adamw,no,huggingface,8,T4,6459.43,468150060,0.9208
adamw,no,huggingface,16,T4,6201.93,450053324,0.933
adan,fp16,lightseq,8,T4,1850.11,133718571,0.9334
adan,fp16,lightseq,16,T4,1613.21,116956240,0.9254
adan,fp16,huggingface,8,T4,2667.27,192003442,0.9308
adan,fp16,huggingface,16,T4,2412.63,174149751,0.9342
adan,no,lightseq,8,T4,6002.02,435691052,0.9296
adan,no,lightseq,16,T4,5755.92,418115949,0.9298
adan,no,huggingface,8,T4,6393.38,463659153,0.932
adan,no,huggingface,16,T4,6173.80,448178720,0.9268
