optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy
adan,fp16,lightseq,32,V100,476.38,108728895,0.93
adamw,fp16,lightseq,32,V100,482.41,109965810,0.94
adan,fp16,lightseq,16,V100,535.45,117103480,0.93
adamw,fp16,lightseq,16,V100,547.96,118188721,0.93
adan,fp16,lightseq,8,V100,644.17,129272969,0.93
adamw,fp16,lightseq,8,V100,669.78,131552063,0.93
adan,fp16,huggingface,16,V100,813.34,153046478,0.93
adamw,fp16,huggingface,16,V100,828.02,154261200,0.94
adan,fp16,huggingface,8,V100,956.24,167436337,0.92
adamw,fp16,huggingface,8,V100,989.7,169647793,0.93
adan,no,lightseq,16,V100,1861.89,430751225,0.92
adamw,no,lightseq,16,V100,1874.53,434528607,0.94
adan,no,lightseq,8,V100,1945.46,431520674,0.94
adamw,no,lightseq,8,V100,1974.26,432245974,0.93
adan,no,huggingface,16,V100,2034.45,447641313,0.94
adamw,no,huggingface,16,V100,2047.71,449880642,0.93
adan,no,huggingface,8,V100,2175.17,461462812,0.93
adamw,no,huggingface,8,V100,2205.4,465620860,0.93
