optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy
adamw,fp16,lightseq,8,A10,878.55,135532265,0.9378
adamw,fp16,lightseq,16,A10,740.1,115067386,0.936
adamw,fp16,lightseq,32,A10,637.48,99265365,0.9318
adamw,fp16,huggingface,8,A10,1328.82,203876692,0.9326
adamw,fp16,huggingface,16,A10,1162.19,179341434,0.9412
adamw,fp16,huggingface,32,A10,1053.36,162733266,0.9304
adamw,fp32,lightseq,8,A10,2344.44,363335820,0.9272
adamw,fp32,lightseq,16,A10,2163.65,335879686,0.93
adamw,fp32,huggingface,8,A10,2602.03,402175003,0.9324
adamw,fp32,huggingface,16,A10,2398.87,372030304,0.9398
adan,fp16,lightseq,8,A10,840.64,130392167,0.9384
adan,fp16,lightseq,16,A10,718.81,111879840,0.9232
adan,fp16,lightseq,32,A10,626.62,97703905,0.929
adan,fp16,huggingface,8,A10,1278.18,196603450,0.9326
adan,fp16,huggingface,16,A10,1136.54,175461012,0.9258
adan,fp16,huggingface,32,A10,1040.34,160717948,0.9376
adan,fp32,lightseq,8,A10,2303.38,357124333,0.9288
adan,fp32,lightseq,16,A10,2141.14,332547861,0.9146
adan,fp32,huggingface,8,A10,2554.21,395537491,0.931
adan,fp32,huggingface,16,A10,2374.41,368443936,0.9332
adan,fp32,huggingface,8,A100,1563.13,458539486,0.932
adan,fp32,huggingface,16,A100,1485.05,445225038,0.9338
adan,fp32,huggingface,32,A100,1429.52,435017003,0.9268
adan,fp32,lightseq,8,A100,1434.13,429259473,0.9342
adan,fp32,lightseq,16,A100,1364.03,408221399,0.9408
adan,fp32,lightseq,32,A100,1320.5,401802719,0.9202
adan,fp16,huggingface,8,A100,511.62,134293294,0.918
adan,fp16,huggingface,16,A100,428.18,123318672,0.9304
adan,fp16,huggingface,32,A100,383.05,113277808,0.923
adan,fp16,lightseq,8,A100,326.8,94872731,0.9284
adan,fp16,lightseq,16,A100,269.82,79748421,0.9304
adan,fp16,lightseq,32,A100,238.52,71237976,0.935
adamw,fp32,huggingface,8,A100,1580.85,461175739,0.9326
adamw,fp32,huggingface,16,A100,1493.23,446820058,0.9298
adamw,fp32,huggingface,32,A100,1433.51,435738291,0.933
adamw,fp32,lightseq,8,A100,1448.95,432124086,0.9322
adamw,fp32,lightseq,16,A100,1372.19,410372783,0.9274
adamw,fp32,lightseq,32,A100,1320.36,403103442,0.934
adamw,fp16,huggingface,8,A100,529.28,138613775,0.9326
adamw,fp16,huggingface,16,A100,436.44,124417075,0.9326
adamw,fp16,huggingface,32,A100,387.25,114348670,0.9358
adamw,fp16,lightseq,8,A100,341.3,98686600,0.9328
adamw,fp16,lightseq,16,A100,277.54,81773921,0.9258
adamw,fp16,lightseq,32,A100,242.89,72597557,0.9348
adamw,fp16,lightseq,8,V100,667.24,139057400,0.931
adamw,fp16,lightseq,16,V100,549.69,124899458,0.9284
adamw,fp16,lightseq,32,V100,488.11,113596436,0.9362
adamw,fp16,huggingface,8,V100,998.02,184664530,0.9256
adamw,fp16,huggingface,16,V100,838.28,168458801,0.934
adamw,fp32,lightseq,8,V100,1972.26,462918752,0.9164
adamw,fp32,lightseq,16,V100,1900.95,453865964,0.934
adamw,fp32,huggingface,8,V100,2189.38,491359123,0.9176
adamw,fp32,huggingface,16,V100,2082.89,479395865,0.936
adan,fp16,lightseq,8,V100,638.83,136234340,0.9272
adan,fp16,lightseq,16,V100,536.93,123560387,0.925
adan,fp16,lightseq,32,V100,481.41,112591533,0.934
adan,fp16,huggingface,8,V100,965.67,178077286,0.9072
adan,fp16,huggingface,16,V100,824.98,167276704,0.9298
adan,fp32,lightseq,8,V100,1945.29,460231451,0.9264
adan,fp32,lightseq,16,V100,1887.73,452186229,0.9292
adan,fp32,huggingface,8,V100,2162.76,489054633,0.9232
adan,fp32,huggingface,16,V100,2073.87,478087174,0.9278
adamw,fp16,lightseq,8,T4,1902.65,137295476,0.9294
adamw,fp16,lightseq,16,T4,1648.55,119394168,0.9316
adamw,fp16,lightseq,32,T4,1504.33,109309823,0.933
adamw,fp16,huggingface,8,T4,2733.96,196569850,0.933
adamw,fp16,huggingface,16,T4,2450.16,176836782,0.9282
adamw,fp32,lightseq,8,T4,6072.4,440672428,0.929
adamw,fp32,lightseq,16,T4,5789.54,420396530,0.9286
adamw,fp32,huggingface,8,T4,6459.43,468150060,0.9208
adamw,fp32,huggingface,16,T4,6201.93,450053324,0.933
adan,fp16,lightseq,8,T4,1850.11,133718571,0.9334
adan,fp16,lightseq,16,T4,1613.21,116956240,0.9254
adan,fp16,huggingface,8,T4,2667.27,192003442,0.9308
adan,fp16,huggingface,16,T4,2412.63,174149751,0.9342
adan,fp32,lightseq,8,T4,6002.02,435691052,0.9296
adan,fp32,lightseq,16,T4,5755.92,418115949,0.9298
adamw,fp32,huggingface,128,TPUv2,746,,0.938
adamw,fp32,huggingface,64,TPUv2,834.83,,0.926
adamw,bf16,huggingface,128,TPUv2,675,,0.93
adamw,bf16,huggingface,256,TPUv2,629,,0.935
adamw,bf16,huggingface,512,TPUv2,603,,0.933
