optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy
adamw,fp16,lightseq,8,v100,229.11,44419947,0.93
adamw,fp16,lightseq,16,v100,184.64,39566032,0.93
adamw,fp16,lightseq,32,v100,160.73,36611556,0.94
adamw,fp16,huggingface,8,v100,329.14,55991824,0.0
adamw,fp16,huggingface,16,v100,276.08,51326120,0.94
adamw,no,huggingface,8,v100,733.49,154265112,0.93
adamw,no,huggingface,16,v100,682.48,149370213,0.94
adan,fp16,lightseq,8,v100,219.86,43828750,0.93
adan,fp16,lightseq,16,v100,180.27,39176051,0.95
adan,fp16,lightseq,32,v100,158.87,36338800,0.93
adan,fp16,huggingface,8,v100,319.01,55533222,0.93
adan,fp16,huggingface,16,v100,271.76,50888535,0.95
adan,no,huggingface,8,v100,723.8,152631202,0.88
adan,no,huggingface,16,v100,677.63,148878129,0.94
adamw,no,lightseq,8,v100,658.56,142035582,0.93
adamw,no,lightseq,16,v100,624.03,144331919,0.94
adan,no,lightseq,8,v100,650.19,141069199,0.94
adan,no,lightseq,16,v100,619.95,143253945,0.94
adamw,fp16,lightseq,8,v100,669.78,131552063,0.93
adamw,fp16,lightseq,16,v100,547.96,118188721,0.93
adamw,fp16,lightseq,32,v100,482.41,109965810,0.94
adamw,fp16,huggingface,8,v100,989.7,169647793,0.93
adamw,fp16,huggingface,16,v100,828.02,154261200,0.94
adamw,no,lightseq,8,v100,1974.26,432245974,0.93
adamw,no,lightseq,16,v100,1874.53,434528607,0.94
adamw,no,huggingface,8,v100,2205.4,465620860,0.93
adamw,no,huggingface,16,v100,2047.71,449880642,0.93
adan,fp16,lightseq,8,v100,644.17,129272969,0.93
adan,fp16,lightseq,16,v100,535.45,117103480,0.93
adan,fp16,lightseq,32,v100,476.38,108728895,0.93
adan,fp16,huggingface,8,v100,956.24,167436337,0.92
adan,fp16,huggingface,16,v100,813.34,153046478,0.93
adan,no,lightseq,8,v100,1945.46,431520674,0.94
adan,no,lightseq,16,v100,1861.89,430751225,0.92
adan,no,huggingface,8,v100,2175.17,461462812,0.93
adan,no,huggingface,16,v100,2034.45,447641313,0.94
